rank,name,puuid,league_points,wins,losses,win_rate
81,Unknown,4Ec1xa8BAJo4nwxnfxT-UiOJmoDHy9VPNNsWLTQK3h0ON5fSS-JjRDGs2IZEtGlf2xLR23k3DtEcng,1126,239,217,52.41
82,Unknown,zKsIc-fKo1W3OIWGhBigbRL1nLeisPfTLeGmFtSFPMUOKBYU1OLRFn-SyBer8jSjahDvVJQ1iLAndQ,1124,190,155,55.07
83,Unknown,nx62VktYaT7kZeBKpT_8OdGkzqN0UHkANqTWgdMXu_UzD7LHKScMzVTc-7-7Xc3zLG3bYTWjtGHpLQ,1123,421,383,52.36
84,Unknown,4LJTQMG2o3tsIpD6sUZJklnNbBiHSvx8it_YWP9Q7dZ4j-Y5T7tYI3okXpcf60TgMJZpjvg-6hTpAw,1120,104,74,58.43
85,Unknown,5CU-BkTH-VPWc5xIkt7eNgnrMDUZIzxJMgm5dHY5_zU7dg22Z4a6_60gzC-u8Slqm4Pw0YQnsHqVrw,1119,194,174,52.72
86,Unknown,Eeb0JjNWHmTqPrsqrB-u-wl8whUBO0HqREiOY7ZbvbWlmeY4pW0PYMYFHsFRiqAA5VXhOYhFsT26Ag,1117,248,219,53.1
87,Unknown,GAUGZFKtfhx7jhtm2UTZS6_OUHFMZjutm0R0OozXzQjdR847sz6CafJFyUnimeSawc3qZ7dHrXSvKg,1117,213,177,54.62
88,Unknown,LEn9vSsV0oiP8sRIGSKTlgnwuahxdKGgFrB8sL0XuNgIb_aRrpB1_M9vZYfV3U_uLXMf2O8BLOO2aQ,1116,195,157,55.4
89,Unknown,cx79WYr7iFA4niINoYbfu4wY5oNJBFbKqUfh6iSHKX44jx5KmDmGkah71GPl_Karpl1BiTjsrxj1PA,1116,110,86,56.12
90,Unknown,dsMDPry-KNKcr2Zyg_f3cEEFHs373ihk8YysEgu6w9_zMAQItd9nntxIKvJUalBXfjCKGRc50lsU_w,1114,135,95,58.7
91,Unknown,5hATwXp4LwDSmkM2_tridEGg7qO3HXQwTJFOR2gP5P_f6i-MVLzmhy2R9rWS3Yb5VDjOI_BrbmBlBQ,1111,273,246,52.6
92,Unknown,1Vv4-yOpl7FkYUr50QmeOULoMiiJ2fjZUopagH_pDuSZNUNhQEEajDnYfDzUSLI--AvMODnu44JbEw,1107,276,246,52.87
93,Unknown,tT9ve81d-gXZDCF_7vMXh3KvSI6CRFr8f2XOg-kBFpEYAopTh3KxiIvE2BShaN-zXx2ge-qhEQiQMw,1105,118,87,57.56
94,Unknown,5nNeWduHHnpLzlqCdLNAhUycpF5wH9ptGtaCXC97b5y7R9_qBW84qy3ofkKuxWPgV1kRoY6feS9dcA,1102,147,110,57.2
95,Unknown,O0gb--4s4dJj-GXFZgmyuqM81220bVEIhd1vuWwikMk8nnMl7xuhC8U1wF_cj_bEUyF7rAYViNwUcg,1092,249,219,53.21
96,Unknown,mfQi_D9hjL4HvCweYNAv1eArMMfPutlFnWaYBRe1xe0nOhUIpf19EZiN-rhpxNNrOxkoqGRvyZmCUg,1092,181,151,54.52
97,Unknown,GbhVf2aHO6IKMMTnD3h2rMu95ZFh3VoffqYrero3IMCX39epP7Q-dI9Civ79fEmWZ7uaIohqtDsJZA,1086,157,125,55.67
98,Unknown,dZlrjn8MUwL8Vx-Sx36wfsVJaZaszRqbkUBnhO7rrweZPJMu-PmxhYGebDYfwiAi3v1gVN474kYnbQ,1083,188,142,56.97
99,Unknown,U4AC72mOzsIXgX-kApvleTgPsLHInIMVJ6nbanL8nrvxXMIFzXFmlBbcFbAUQffIc1IyDIJN5wCU7w,1081,223,204,52.22
100,Unknown,vIirLV7-vZleFqbwOVmA2R4_nnkjEcs60_c-OEMhrV8XvYJjzxQr3ZtcX7hhBTlvjK-E9kZe_zi0aw,1078,284,231,55.15
101,Unknown,YCXEylCl-PSZXdsBjj2hMsSyHaiIWLVrS8oqXhZ9ioySRnY5q3EzY15uJC_zV8ZoQ0QapCF1Esp8dA,1074,168,130,56.38
102,Unknown,W3PRYH5JxkRATnj3faQUWEOng9gWkFz8z5X0ImLiTRe7q36XGij9ycklkCVW2D2wjpzQjFNEADajsA,1072,177,144,55.14
103,Unknown,6zzUna1Q25VRBIejK9bUG9LBdIhWQkb35jwPQI1G0enjNyBUiviv5V6CXAZ1vmwMTYfOXH0OXHAJow,1071,205,167,55.11
104,Unknown,G6tIxx3FkOXReNnMzJQdXiUZwdcq4Osw-6awju1d91PC0WPa1l0InWqDViMR9XFD4SYE2r99xd8W9A,1060,158,129,55.05
105,Unknown,6PU8KyUT7SfeVF3wT9azAZdELMen9YglxZAgkexVgDaacnmQuJR_s0kdhUjZmHQ4HfnaFSNxN4y3_Q,1058,157,135,53.77
106,Unknown,ScJ0HavcHBVVq1M1DU4VeJnorxzhO1rSaMsgHKZTX5E6kScgp6diJPUfcE_dktVKLhPBbnFwuBtT6w,1052,156,116,57.35
107,Unknown,cI1-NMynHu2_hV7yZKJc5ariBLxQ_x8nmp40zlSFiEE9c21yjqjXIOgpTjHng6aH7aUvbn5-y6n3SQ,1051,199,133,59.94
108,Unknown,yyVsgonn35TeTaQ9_twUrXx1mIlKGEBftLCZ281VW2i6JZkHrSR1ufRkjrlaGQ0FyqTTQUv7K8Wrhg,1049,109,84,56.48
109,Unknown,ZHe7fqkQwn838z2R-sNpfJYFwVElL5x-cKAcUE5zVxjsZTpnMIhIWcFHPHtyYtKVkyXt-5gOHv68sA,1048,295,266,52.58
110,Unknown,z1MrQFrC1ISJtyinBwlZ25-1PxW8FUSaKJQsQNHvce5DGSkhYFHPpAQSZwVULvDOeKSUBlH2usd9rw,1047,127,86,59.62
